allows_get_information_currently_connected_user	provides information about the currently connected user (server or client side).	vous autorise à obtenir les information de l'utilisateur courant connecté (côté serveur ou côté client).
always_get_current_user_using_module	Always get the current user id using module	Récupérez toujours l'ID de l'utilisateur courant en utilisant le module
cache	Cache	Cache
cache_1	Caching the data	Mise en cache des données
cache_2	Module {{eliom_cscache}} implements a cache of data that is designed for Eliom's client-server programming model. It permits saving a client-side copy of the data. Have a look at the module {{os_user_proxy}} to see how it works (and use this module for getting information about Ocsigen Start's users).	Le module {{eliom_cscache}} implémente un cache de données construit pour le modèle client-serveur d'Eliom. Il permet de sauvegarder une copie des données du client. Jetez un oeil au module {{os_user_proxy}} pour comprendre son fonctionnement (et utilisez ce module pour obtenir des informations sur les utilisateurs d'Ocsigen Start).
cache_3	When you get a piece of data through {{eliom_cscache}} from client-side, the request to the server is done only if the data is not already in the client-side cache. On server-side, {{eliom_cscache}} is using a temporary cache (with \"request\" scope) to avoid fetching the data several times from the database during the same request. This server-side cache is automatically sent to the client to fill the client-side cache. If you want to avoid too many requests from the client, prefill the server-side cache with the data the client program will need.	Quand une donnée du client est obtenue via {{eliom_cscache}}, la requête vers le serveur est faite uniquement si la donnée ne se trouve pas déjà dans le cache côté client. Du côté serveur, {{eliom_cscache}} utilise un cache temporaire (avec une portée de type "request") afin d'éviter de récupérer les données de la base de données plusieurs fois sur une même requête. Ce cache côté serveur est automatiquement envoyé au client pour remplir son cache. Pour éviter un trop grand nombre de requêtes côté client, pré-remplissez le cache côté serveur avec les données dont le programme côté client a besoin.
cache_4	In the near future, {{eliom_cscache}} will enable saving persistent data, which is useful for implementing off-line applications.	Prochainement, {{eliom_cscache}} permettra de sauvegarder des données de manière persistante, ce qui peut être utile pour implémenter des applications hors ligne.
calendar	Calendar	Calendrier
carousel_1	Carousel	Carousel
carousel_2	Carousel: page with tabs	Carousel : page avec onglets
carousel_third_example_1	Example of a vertical circular carousel (wheel). Try with a touch screen.	Exemple de carousel vertical circulaire (wheel). Essayez avec un écran tactile.
carousel_wheel	Wheel carousel	Carousel avec roulette
eliom_ref	Eliom references + OS dates	Références Eliom + dates OS
eliom_ref_1	We use an Eliom reference to record the last time you visited this page. Eliom references make it possible to save, server-side, data specific to one user, one browser, or one tab. 	Nous utilisons les références Eliom pour sauvegarder la date de la dernière fois que vous avez visité cette page. Les références Eliom permettent de sauvegarder côté serveur des données propres à un utilisateur, à un navigateur ou à un onglet.
eliom_ref_2	The value is different for each user.	La valeur est différente pour chaque utilisateur.
eliom_ref_3	The reference has been updated. Come back later!	La référence a été mise à jour. Revenez plus tard !
eliom_ref_first_visit	This is your first visit.	Ceci est votre première visite.
eliom_ref_last_visit	The last time you visited was: 	 La dernière fois que vous avez visité ce lien était :
example_tip	This is an example of tip.	Ceci est un exemple de tip.
exchange_msg_between_users	Module {{os_notif}} enables sending information to client applications (notifications, new messages ...).	Le module {{os_notif}} permet d'envoyer des données aux applications client (notifications, nouveaux messages,...).
external_service	external service	service externe
